name,description,image,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,energy_level,intensity,exercise_needs,potential_for_playfulness,dog_breed_group,height,weight,life_span 
golden cocker retriever,"The Golden Cocker Retriever is a mixed breed doga cross between the Golden Retriever and Cocker Spaniel dog breeds. Sweet, playful, and intelligent, these pups inherited some of the best qualities from both of their parents.Golden Cocker Retrievers also go by the names Cogol and Dakota Sport Retriever. You can find these mixed breed dogs in shelters and breed-specific rescues, so remember to always adopt! Dont shop if youre looking to add a one of these sweet pups to your home!The Golden Cocker Retriever is a super affectionate and extra playful pooch. This is a mixed breed that makes for a top notch family dogthell want to be involved in all of your daily activities, whether thats snuggling and lounging on the couch or heading out on hikes and running errands. Although speaking about activities, the Golden Cocker Retriever is an energetic breed that will require a high amount of exercisethis is not an apartment dog.",https://www.dogtime.com/assets/uploads/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1.jpg,1,4,4,1,2,4,5,4,4,3,4,1,4,4,4,3,4,4,2,2,3,4,5,2,4,5,Mixed Breed Dogs,20 to 24 inches,30 to 45 pounds,12 to 15 years
golden mountain dog,"The Golden Mountain Dog is a mixed breed doga cross between the Golden Retriever and Bernese Mountain Dog breeds. Gentle, friendly and intelligent, these pups inherited some of the best qualities from both of their parents.You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add a Golden Mountain Dog to your home!If youre a fan of larger-than-life dogs but are also looking for a mixed breed thats very much a gentle giant, the Golden Mountain Dog is for you. The mixed breed makes an excellent family dog and gets along great with small children and other family pets alike. Theyre loyal, affectionate, highly intelligent, and willing to please. Just take note: They definitely prefer living in places where the weather is on the colder side, and definitely arent apartment dogs.",https://www.dogtime.com/assets/uploads/2019/10/golden-mountain-dog-mixed-dog-breed-pictures-cover.jpg,1,2,2,2,5,1,5,5,4,3,4,4,2,3,4,5,4,4,2,2,3,4,4,2,5,5,Mixed Breed Dogs,24 to 28 inches,75 to 120 pounds,9 to 15 years
golden retriever,"The Golden Retriever is one of the most popular dog breeds in the United States. The breeds friendly, tolerant attitude makes them great family pets, and their intelligence makes them highly capable working dogs.Golden Retrievers excel at retrieving game for hunters, tracking, sniffing out contraband for law enforcement, and as therapy and service dogs. Theyre also natural athletes and do well in dog sports such as agility and competitive obedience.Golden Retrievers are generally healthy dogs with a long lifespan, but due to their active nature, they can be prone to joint issues like Hip & Elbow Dysplasia. Get your Golden Retriever covered early on with Lemonade Pet Insurance starting at $10 a month. Getting a Lemonade Pet policy while your Golden is young and doesnt have any health issues, or pre-existing conditions, means that Lemonade will cover vet costs associated with a joint condition and will also reimburse you for other treatments to keep your dog healthy. Get a quote now!These dogs are fairly easy to train and get along in just about any home or family. Theyre great with kids and very protective of their humans. If you want a loyal, loving, and smart companion, consider adopting one of these pups into your pack.",https://www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-460x290.jpg,2,3,5,1,3,3,5,5,5,5,5,4,2,2,5,3,5,5,5,3,3,2,5,2,5,5,Sporting Dogs,21 to 24 inches tall at the shoulder,55 to 75 pounds,10 to 12 years
golden retriever corgi,"The Golden Retriever Corgi is a mixed breed dog  a cross between the Corgi and Golden Retriever dog breeds. Loyal, silly, and active, these pups inherited some of the best qualities from both of their parents.Golden Retriever Corgis go by several names, including the Golden Corgi, Corgi Retriever, and the Corgi Golden Retriever. Despite their unfortunate designer breed status, you may find these dogs in shelters and breed specific rescues. So remember to adopt! Dont shop!These adorable pups make great apartment dogs for active urban dwellers, though they are best suited to to bigger homes with a yardand they are especially great with kids. If you want a spunky dog who will make you laugh, keep you active, and love you unconditionally, this may be the right dog for you!See below for all mixed dog breed traits and facts about Golden Retriever Corgis!",https://www.dogtime.com/assets/uploads/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,3,3,5,5,4,4,4,3,3,3,4,3,4,4,3,2,3,2,4,3,3,5,Mixed Breed Dogs,10 to 18 inches,30 to 75 pounds,10 to 13 years
golden shepherd,"The Golden Shepherd is a mixed breed doga cross between the Golden RetrieverandGerman Shepherd dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.The Golden Shepherdis also calledGolden German Shepherd, German Retriever, or just German Shepherd Golden Retriever. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!Golden Shepherds are not a great choice for novice pet owners, but if youre an experienced dog parent looking for a watch dog and all around family companion, this pup may be for you! Big homes with yards are ideal but not required, as long as they get plenty of exercise. While Golden Shepherds are not excessively barky, they will alert when strangers approach.These dogs are protective of their loved ones and friendly with people, children, and other dogs. Dont leave them alone for long periods, though, or else they may become bored and destructive.",https://www.dogtime.com/assets/uploads/2019/11/German-Shepherd-Golden-Retriever-mixed-dog-breed-pictures-cover.jpg,2,2,5,1,5,4,5,5,3,5,5,2,2,3,3,5,5,5,5,3,3,2,5,3,5,5,Mixed Breed Dogs,20 to 26 inches,55 to 85 pounds,10 to 14 years
goldendoodle,"The Goldendoodle is a designer dog, a hybrid dog breed resulting from mixing thePoodle with theGolden Retriever. Like all other designer breeds, this Doodle is not truly a breed of its own, but is a crossbreed  and in this case, a cross that is enjoying growing popularity.Despite their unfortunate status as a designer breed, you can find these hybrid dogs in shelters and rescues. So opt to adopt if you can!Affectionate, intelligent, and low-shedding, these dogs inherited some of the best traits from their parent breeds, along with good health. However, Goldendoodles can be susceptible like any dog to common illnesses and conditions like hip injuries. Thats why we recommend getting covered by Lemonade Pet Insurance early on in your Goldendoodles life. Lemonade Pet Insurance starts at $10 a month and will cover your pup for these unexpected conditions (once your waiting periods are over). Get a quote now!Good for novice dog parents and experienced canine families alike, youd have a hard time finding a more loving companion than a Goldendoodle.",https://www.dogtime.com/assets/uploads/2011/01/file_23204_goldendoodle-460x290.jpg,1,4,4,3,3,3,5,5,5,4,2,1,4,3,3,4,4,5,1,1,3,3,4,3,5,5,Hybrid Dogs,20 to 24 inches tall at the shoulder,50 to 90 pounds,10 to 15 years
gollie,"The Gollie is a mixed breed doga cross between the Golden Retriever and Collie dog breeds. Loving, clever, and energetic, these pups inherited some of the best qualities from both of their parents.Gollies are also sometimes known as Golden Collies. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add one of these mixed breed dogs to your home!Gollies totally love people and will become a loving and faithful part of your family. Beyond snuggle sessions, be aware that the breed is also a very active one. This is not an apartment dog, and walks and outdoor time need to be on the brisk and energetic side. If you like jogging or hiking, consider the Gollie to be your new training partner!",https://www.dogtime.com/assets/uploads/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg,1,4,3,2,3,3,5,5,4,4,4,2,3,3,4,3,4,4,2,2,2,4,5,3,4,5,Mixed Breed Dogs,22 to 26 inches,50 to 75 pounds,12 to 15 years
gordon setter,"Originally bred to hunt pheasant and quail, Gordon Setters are still fine hunting companions and field trial competitors. Canines of this breed also compete in obedience, conformation, and agility, and theyre terrific family companion dogs.Gordon Setters have lots of love to give to their humans, but apartment dwellers should beware. These dogs need plenty of exercise to burn off their high energy. If you can provide space to play and keep up with daily walks, then this may be the breed for you.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Gordon Setter.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22982_gordon-setter-460x290.jpg,2,3,4,1,4,3,5,3,2,3,5,3,2,4,3,3,5,5,3,4,5,4,5,2,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,10 to 12 years
great dane,"Oh, baby! A Great Dane is truly a great dog breedlarge and noble, commonly referred to as a gentle giant or as the Apollo of dogs. Apollo is the Greek god of the sun, the brightest fixture in the sky.Great Danes have been around for a long time, and depictions of Dane-like dogs on artifacts date back thousands of years. Although this is a pure breed of dog, you may find them in shelters and rescues, so remember to adopt! Dont shop if you decide this is the dog for you.Great Danes certainly hold stature in the dog world; but though they look terribly imposing, in reality theyre one of the best-natured dogs around. For all of their size, Great Danes are sweet, affectionate pets. They love to play and are gentle with children.DogTime recommends this big, spacious crate to give your big Great Dane a place to rest and relax.You should also pick up this dog brush and massager for your short-haired pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22926_great-dane-460x290.jpg,1,1,5,1,2,3,5,5,5,5,5,4,5,4,2,5,5,3,2,3,4,3,5,5,5,5,Working Dogs,26 to 34 inches tall at the shoulder,100 to 200 pounds,7 to 10 years
great pyrenees,"The Great Pyrenees dog breeds goal in life is to protect sheep, goats, livestock, people, children, grass, flowers, the moon, the lawn furniture, bird feeders, and any real or imaginary predators that may intrude on your personal space. Oh yeah, and to give, give, and give unconditional love.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Anyone who has seen this stunning white dog becomes enamored. Whats not to like? They have a strong build, a beautiful, thick coat, and they exude elegance and majesty. One look and you can see the intelligence and steady temperament that many seek in a goodfamily dog.",https://www.dogtime.com/assets/uploads/2011/01/file_23202_great-pyrenees-460x290.jpg,1,1,4,3,5,3,5,4,4,3,5,2,4,2,4,5,1,4,2,5,5,5,5,5,5,4,Working Dogs,25 to 32 inches tall at the shoulder,85 to 160 pounds,10 to 12 years
greater swiss mountain dog,"The Greater Swiss Mountain dog breed was developed to be an all-around working dog, herding cattle, pulling carts, and standing guard. These days, the Swissy enjoys life as a family pet, but because of his working heritage, he enjoys being busy.Fans of the breed affectionately call these dogs Swissy. Even though they are purebred dogs, you may still find them in shelters and breed specific rescues, so remember to adopt! Dont shop!sizeThis powerful breed excels in all sorts of dog sports, from agility to weight pulling. Although theyre very affectionate and playful, theyre also large dogs, and not well suited for novice owners. For an active, experienced, dog-loving family with a big home, this pup may fit right in.DogTime recommends this big, spacious crate to give your big Greater Swiss Mountain Dog a place to rest and relax.You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22928_greater-swiss-mountain-dog-460x290.jpg,1,2,4,3,5,1,5,5,5,3,3,1,5,2,4,5,3,3,3,4,4,3,5,4,3,5,Working Dogs,23 to 28 inches tall at the shoulder,85 to 140 pounds,7 to 9 years
greyador,"The Greyador is a mixed breed doga cross between theLabradorand Greyhound dog breeds. These pups fall into the medium-to-large size range. Gentle yet strong, Greyadors inherited some of the best traits from both of their parents.Greyadors are also sometimes called Greyhound Labs or Lurchers. Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed specific rescues, so remember to adopt! Dont shop!Greyadors can happily live in an apartment with an hour of brisk walking per day. Though if you have a big house with a yard that they can run around in and play fetch, they will love that all the better. Above all material objects, dogs need love and care. If you want to take your Greyador for a hike, make sure they have a secure harness. They may have an inherent need to chase small animals.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Greyador.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2020/02/greyador-mixed-dog-breed-pictures-COVER.jpg,3,2,5,1,1,3,5,5,5,5,5,4,5,4,5,4,3,5,5,4,4,4,4,4,4,4,Mixed Breed Dogs,21 to 27 inches,50 to 80 pounds,11 to 13 years
greyhound,"Greyhounds were originally bred as hunting dogs to chase hare, foxes, and deer. Canines in this dog breed can reach speeds of 40 to 45 miles per hour, making them the Ferraris of the dog world.Not surprisingly, Greyhounds made a name for themselves as racing dogs. Because of this, you can likely find them retired and in the care of shelters and rescue groups.Consider adoption if this is the breed for you.Today, Greyhounds also participate in many other dog sports, including lure coursing, conformation, obedience, and agility. Beyond their grace and speed, people love them for their sweet, mild nature. Fans of the breed often claim that these dogs have two speeds: all-out sprint and total couch potato. They are, however, quite sensitive, both to extreme weather and to loneliness. This is not a dog who can be left home alone for long hours of the day. Give them the love, care, and exercise they crave, and youll have an adoring, cuddle bug companion for life.DogTime recommends this big, spacious crate to give your large Greyhound a place to rest and relax.You should also pick up this dog fetch toy to help burn off your pups energy!",https://www.dogtime.com/assets/uploads/2011/01/file_23024_greyhound-460x290.jpg,4,2,5,1,1,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,2,5,5,3,5,4,Hound Dogs,"2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder",50 to 85 pounds,12 to 15 years
hamiltonstovare,"The Hamiltonstovare is a purebred dog from Sweden. These agile, affectionate, active pups have some of the best dog qualities of any dog breed around today.Hamiltonstovares go by a couple of other names, including Swedish Foxhound and Hamilton Hound. These adorablehunting breed pups love the countryside. You might be able to find them at shelters or breed specific rescues if want to bring one home. Remember it is always better to adopt and not shop!These adorable pups can make great companions for anyone but might be better suited for living in rural areas. Theyre great with children and families of all sizes. These pooches have a lot of energy and will need a lot of exercise. If you want a dog who will love you unconditionally, then this pup is perfect for you!",https://www.dogtime.com/assets/uploads/2019/12/Hamiltonstovare-dog-breed-pictures-cover.jpg,3,2,4,3,3,3,5,4,3,3,1,1,4,4,3,3,3,4,2,5,3,2,5,3,4,4,Hound Dogs,19 to 24 inches,40 to 75 pounds,14 to 17 years
hanoverian scenthound,"The Hanoebred verian Scenthound is a purdog originating from Germany. They are loyal, independent, and calm pups who have some of the best qualities of most dog breeds around today.The Hanoverian Scenthound goes by several other names, including Hanoverian Hound, Hanoverian Scent Dog, and Hannoverscher Schweisshund. Despite their status as a rare dog breed, you can still try to find these beautiful pups in shelters or breed specific rescues, so remember to adopt! Dont shop!These adorable pups are quite large in size, which doesnt make them great fits for urban dwellers who live in apartments. Theyre best suited for larger homes with yards of some kind so they can run around. If you want a calm and independent dog who will never leave your side and will always try to please you, then this dog is perfect for you!",https://www.dogtime.com/assets/uploads/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover.jpg,2,1,4,3,3,3,5,5,4,3,2,1,4,4,3,4,2,4,2,4,3,2,4,3,4,4,Working Dogs,19 to 22 inches,80 to 100 pounds,12 to 14 years
harrier,"Harriers originally were bred to hunt hares and foxes. Today, the dog breed isnt especially popular, but their excellent sense of smell and tireless work ethic make them a great fit for hunters.Even though these are rare purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Harriers sometimes are described as Beagles on steroids. Active and playful, these dogs wouldnt fair as well in an apartment setting. They need space to run and burn off their high energy. Still, theyre quite affectionate, especially with kids and other dogs. This is also a fairly healthy and easy-to-groom breed. For an active family, the Harrier can be an excellent companion.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Harrier.You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://www.dogtime.com/assets/uploads/2011/01/file_23026_harrier-460x290.jpg,1,3,2,3,3,4,4,5,5,5,3,1,5,5,3,3,2,4,3,4,4,5,5,4,5,5,Hound Dogs,19 to 21 inches tall at the shoulder,45 to 60 pounds,10 to 12 years
havanese,"The Havanesedog breed has won many admirers with their long, silky hair, expressive eyes, and cuddly size. Bred as a companion dog to the Cuban aristocracy in the 1800s, theyve earned the nickname Velcro dog because they stick so closely to their owners side.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if you want to bring a dog home.Dont write this small pooch off as just a lapdog; the Havanese is trainable and surprisingly energetic, and theyve excelled in dog sports and canine careers ranging from circus performer to assisting people with disabilities. They adore their humans and dont handle long periods of time left alone at home. Make sure your pooch has constant companionship, and youll have an intelligent, furry family member whos eager to please.",https://www.dogtime.com/assets/uploads/2011/01/file_23108_havanese-460x290.jpg,5,5,4,1,3,4,5,4,5,5,2,1,1,3,4,2,5,4,3,4,2,2,3,2,3,5,Companion Dogs,8 to 11 inches tall at the shoulder,7 to 13 pounds,12 to 15 years
havapoo,"The Havapoo is a hybrid dog breed  a cross between the Havanese and Poodle (usually, a Miniature or Toy Poodle). Affectionate, intelligent, and gentle, these small dogs are versatile for many types of families.Havapoos are also known as Poovanese, Havadoodles, and Havanoodles.They are considered designer dogs, bred on purpose to emphasize desirable characteristics from each breed.As always, please adopt whenever possible if youre looking to add a Havapoo to your life. In addition to shelters, you may find these dogs at Havanese and Poodle breed specific rescues. Remember, when you adopt, you save two lives: the one you bring home and the one you make room for at the rescue.Havapoos are lovers, not fighters, so theyre much more prone to want to cuddle than to be guard dogs. While they may bark an alert, theyre generally very affectionate to all. Although Havapoos generally do very well with other animals and small children, interactions are best supervised, as these dogs are small and could easily be hurt by a child playing too roughly.These pups are a great option for apartment dwellers, as their small size makes them a good fit, and their moderate exercise needs are easily met.",https://www.dogtime.com/assets/uploads/2020/11/havapoo-hybrid-dog-breed-pictures-cover.jpg,5,5,4,1,3,4,5,4,4,4,1,1,1,3,4,2,5,5,3,3,2,3,3,2,3,5,Mixed Breed Dogs,8 to 15 inches,7 to 30 pounds,10 to 14 years
hokkaido,"The Hokkaido is a purebred dog from Japan. Intelligent, alert, and devoted to their families, these pooches have qualities that make them excellent companions.The Hokkaido goes several names, including Ainu-ken, Seta, and Ainu dog. In Japan specifically, their name is shortened to Do-ken. Though this breed is somewhat rare outside of Japan, you may still find these purebred dogs in shelters and rescues, so remember to adopt! Dont shop!These beautiful dogs can live in apartments and townhomes, as they are a medium-sized breed. But they are also quite active and would prefer a home with a yard or nearby park where they can walk and play. Hokkaidos get along in any household type, from single folks to large families. They also get along with children when raised with them or socialized properly at an early age. Theyre alert to their surroundings and completely loyal, which might make them the perfect dog for you!",https://www.dogtime.com/assets/uploads/2019/08/hokkaido-dog-breed-pictures-cover.jpg,3,2,2,3,5,2,4,4,3,3,4,2,1,5,3,3,3,4,3,4,3,3,3,2,3,3,Working Dogs,18 to 22 Inches,45 to 65 Pounds,11 to 13 Years
horgi,"The Horgi is a mixed breed dog  a cross between the Siberian Husky and Corgi dog breeds. Small, playful and full of energy, these pups inherited some of the best qualities from both of their parents.Horgis are also called Siborgis. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups make great additions to people and families who enjoy the great outdoors. They have a lot of energy and would thrive in an active household with a secure yard. If you like walking and would like a companion to walk with you, this may be your new best friend. They have pack-dog heritage and would fit in nicely to multiple dog homes. Read on to find out if the Horgi is the right dog for you!See below for all mixed dog breed traits and facts about Horgis!",https://www.dogtime.com/assets/uploads/2019/08/horgi-mixed-dog-breed-pictures-cover.jpg,2,2,4,2,4,3,5,5,4,5,4,2,3,3,3,2,4,4,4,4,3,3,4,3,4,4,Mixed Breed Dogs,12 to 15 inches,20 to 50 pounds,12 to 15 years
hovawart,"The Hovawart dog breed was developed in Germany as a guard dog, and they were also used for tracking. Today, this breed is a companion and family dog. But they also work in search and rescue and as guard dogs.Enthusiasts know that the breeds name means a guardian of estates in German, and also call their pups Hovies for short. Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if this is the breed for you.Hovawarts are typically not recommended for first time dog parents. They can be stubborn and difficult to train if youre not diligent and assertive. You must show your dog that you are the pack leader in order to earn their respect and for them to listen to you.",https://www.dogtime.com/assets/uploads/2020/09/hovawart-dog-breed-pictures-cover.jpg,1,2,3,2,4,3,4,4,2,2,3,1,4,4,3,4,2,4,2,2,2,2,4,4,4,4,Working Dogs,23 to 29 inches,55 to 110 pounds,10 to 14 years
huskita,"The Huskita is a mixed breed dog  a cross between the AkitaandSiberian Huskydog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.The Huskita is also commonly called the Siberian Akita. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These awesome dogs are protective and loyal. Theyrealso working dogs. Due to their alert nature, they have a history of taking on guard duties and police work, and they make great therapy dogs and companions animals for people.They could live in an apartment as long as they get lots of exercise in the outdoors. Huskitas would do best in homes with yards and need a job or task to do. When under-stimulated, these pups can become destructive and unmanageable. Keep them working to keep them happy!",https://www.dogtime.com/assets/uploads/2019/12/huskita-mixed-dog-breed-pictures-cover.jpg,2,1,4,1,5,3,5,2,2,3,4,3,1,4,3,4,2,3,3,4,5,5,4,4,5,5,Mixed Breed Dogs,22 to 25 inches,50 to 75 pounds,10 to 13 years
huskydoodle,"The Huskydoodle is a mixed breed doga cross between the Siberian Husky and Poodledog breeds. Highly intelligent, full of energy, and sociable, these pups inherited some of the best traits from both of their parents.Huskydoodles go by several names, including Siberpoo, Poosky, Siberian Poodle, and Huskypoo.Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These incredibly active pups make great dogs for equally active owners. While they can thrive with a high-energy person in an urban environment, they are best suited to households with a larger amount of space, like a yard, and more than one human. If you want a playful dog who will make sure you get your steps inall while loving you unconditionallythis may be the right dog for you!See below for all Huskydoodle facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/12/huskydoodle-mixed-dog-breed-pictures-cover.jpg,2,2,3,2,4,3,4,4,4,3,3,2,3,4,4,3,3,5,3,4,2,2,5,4,5,4,Mixed Breed Dogs,12 to 25 inches,40 to 60 pounds,10 to 14 years
ibizan hound,"The Ibizan Hound was originally bred to hunt rabbits and small game on the Balearic island of Ibiza. Today, the Ibizan Hound dog breed is still used in that capacity in Spain and elsewhere. Ibizan Hounds also compete in lure coursing, agility, obedience, conformation, and tracking, in addition to being much-loved family companions.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Despite the breeds high energy levels, Ibizan Hounds can still fair well in apartment living situations, so long as you meet their exercise needs. Dont leave them home alone for long hours, though, or you may end up with a bored and destructive pup. So long as they have plenty of walks and playtime, this dog will shower the humans in their life with plenty of affection.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Ibizan Hound.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2011/01/file_23028_ibizan-hound-460x290.jpg,5,3,4,2,1,4,5,5,5,4,3,1,5,4,1,3,3,4,3,5,2,5,5,3,5,5,Hound Dogs,22 to 27 inches tall at the shoulder,45 to 50 pounds,10 to 14 years
icelandic sheepdog,"Thought to be companions to the ancient Vikings, the Icelandic Sheepdog breed was used to protect flocks, especially lambs, from birds of prey. They still retain the habit of watching the sky and barking at birds  as well as everything else they see or hear.This breed is also known asthe Icelandic Spitz or Icelandic Dog. Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Icelandic Sheepdogs are very affectionate with their humans, and as you may have guessed, they do well in colder climates. However, novice pet parents should beware. These dogs have high energy and wont take as well to apartment life. If you can provide plenty of exercise and open space, along with experienced and consistent training, then this might be the dog for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23274_icelandic-sheepdog-460x290.jpg,1,1,3,2,5,3,4,4,2,2,5,1,1,3,3,3,3,4,3,4,1,4,4,5,4,4,Herding Dogs,16 to 18 inchestall at the shoulder,20 to 30 pounds,14 to 15 years
irish red and white setter,"The Irish Red and White Setter dog breed barely escaped extinction when most breeders began focusing on the all-red varieties. Now theyre considered a separate breed from their Irish Setter cousins.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.As gundogs, the Irish Red and White Setters are slow to train but eventually become loyal and reliable hunters. They can also be great family companions, though their high energy and exercise needs make them a poor choice for apartment dwellers or those who cant keep up with them physically. If you can provide them with plenty of activity for their body and brain, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23254_irish-red-and-white-setter-460x290.jpg,1,3,4,1,4,3,5,4,4,4,3,1,3,2,2,3,4,4,4,3,3,4,5,5,5,5,Sporting Dogs,22 to 26 inches tall at the shoulder,50 to 70 pounds,10 to 14 years
irish setter,"Irish Setters originated as agundogsin their native Ireland, and the dog breeds popularity soon spread, thanks to the beauty of their rich mahogany coat and their enthusiasm as bird dogs.Theyre friendly, mischievous, and inquisitive, with high energy levels. This is a bold and boisterous family friend with the potential to do well in many canine sports and activities.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Irish Setter.You should also pick up this dog brush and massager for your long-haired pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22984_irish-setter-460x290.jpg,1,3,4,2,4,3,5,5,5,5,4,2,3,2,3,4,4,5,5,5,4,5,5,3,5,5,Sporting Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",60 to 70 pounds,11 to 15 years
irish terrier,"The Irish Terrier dog breed was once described as the poor mans sentinel, the farmers friend, and the gentlemans favorite. Rugged and stouthearted, they have the advantages of a convenient size, versatile abilities as a companion, watchdog, and vermin dispatcher, and high train-ability.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Irish Terriers are super affectionate toward the humans in their lives, though they may prefer to be the solo pet in the home. Early socialization can help them warm up to other dogs and pets. This breed also has high energy and will need a good amount of exercise. Apartment dwellers and those who must leave home for long hours of the day may have a hard time meeting the Irish Terriers physical needs. But if you can provide plenty of attention, patience, and space to move, youll have a loving, lifelong companion.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Irish Terrier.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2011/01/file_23068_irish-terrier-460x290.jpg,3,2,3,2,4,4,5,5,1,3,4,1,2,5,3,3,1,4,1,2,4,3,5,4,4,5,Terrier Dogs,18 to 20 inches tall at the shoulder,25 to 27 pounds,12 to 16 years
irish water spaniel,"Whether theyre splashing after ducks or showing off in the agility ring, canines of the Irish Water Spaniel dog breed do everything with a sense of fun. Created in Ireland as a water retriever, theyre rare these days but make excellent companions for active and experienced dog owners, especially if they live near a body of water.Although dogs of this breed have high intelligence and learn easily, they also have a stubborn side that can prove troublesome for novice dog parents. Make sure you can keep up with firm, consistent training before you decide that this is the breed for you.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Irish Water Spaniel.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2011/01/file_22986_irish-water-spaniel-460x290.jpg,3,2,4,3,4,4,5,5,4,5,1,2,3,2,3,3,5,4,3,5,4,3,5,3,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 12 years
irish wolfhound,"The Irish Wolfhound dog breed was originally used in war to drag men off horses and chariots. They also hunted large game such as deer, boar, and wolves. Today this adaptable dog is a family companion who also competes in obedience, tracking, and lure coursing.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.The Irish Wolfhound is, on average, the tallest dog breed in the world, although several other breeds can outweigh them. Because of this, apartment dwellers will have a lot of difficulty providing enough space for these dogs to move around and thrive. But for families with plenty of room to roam, Irish Wolfhounds make for extremely loving companions, even to children. Just make sure you have a fenceand a tall one at thatto prevent your dog from chasing wildlife.DogTime recommends this big, spacious crate to give your big Irish Wolfhound a place to rest and relax.You should also pick up this dog brush and massager for your long-haired pup!",https://www.dogtime.com/assets/uploads/2011/01/file_23030_irish-wolfhound-460x290.jpg,1,2,3,2,4,2,5,5,5,5,3,1,3,1,3,5,3,4,3,5,1,3,2,2,4,4,Hound Dogs,32 to 35 inches tall at the shoulder,115 to 180 pounds,6 to 8 years
